ID Earthquake,Flag Tsunami,Year,Month,Focal Depth,EQ Primary,Mw Magnitude,Ms Magnitude,Mb Magnitude,Intensity,Country,State,Location name,Region code,Earthquake : Deaths,Earthquake : Deaths Description,Earthquake : Missing,Earthquake : Missing Description,Earthquake : Injuries,Earthquake : Injuries Description,Earthquake : Damage (in M$),Earthquake : Damage Description,Earthquakes : Houses destroyed,Earthquakes : Houses destroyed Description,Earthquakes : Houses damaged,Earthquakes : Houses damaged Description,Total Effects : Deaths,Total Effects : Deaths Description,Total Effects : Missing,Total Effects : Missing Description,Total Effects : Injuries,Total Effects : Injuries Description,Total Effects : Damages in million Dollars,Total Effects : Damage Description,Total Effects : Houses Destroyed,Total Effects : Houses Destroyed Description,Total Effects : Houses Damaged,Total Effects : Houses Damaged Description,Latitude,Longitude
6093,Tsunami,1931,3.0,33.0,7.1,,7.1,,,CHILE,,CHILE:  CENTRAL,160.0,,,,,,,,,,,,,,,,,,,,,,,,,-32.5, -72.0
3478,,1931,10.0,50.0,7.7,7.7,7.8,,,SOLOMON ISLANDS,,SOLOMON ISLANDS,170.0,,,,,,,,,,,,,,,,,,,,,,,,,-9.968, 161.194
3450,Tsunami,1931,2.0,35.0,7.7,7.7,7.8,,9.0,NEW ZEALAND,,NEW ZEALAND:  HAWKE BAY,170.0,261.0,Many (~101 to 1000 deaths),,,400.0,Many (~101 to 1000 deaths),25.0,EXTREME (~$25 million or more),,,,,261.0,Many (~101 to 1000 deaths),,,400.0,Many (~101 to 1000 deaths),25.0,EXTREME (~$25 million or more),,,,,-39.772, 176.025
3475,,1931,9.0,20.0,7.0,,,,,JAPAN,,JAPAN:  HONSHU,30.0,16.0,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,36.1, 139.2
6092,Tsunami,1931,2.0,,7.1,,7.1,,,NEW ZEALAND,,NEW ZEALAND:  N,170.0,,,,,,,,,,,,,,,,,,,,,,,,,-39.5, 177.0
6320,Tsunami,1931,9.0,,7.4,,7.4,,8.0,INDONESIA,,SW. SUMATRA,60.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,-5.0, 102.75
3457,Tsunami,1931,3.0,60.0,7.7,,,,,JAPAN,,JAPAN:  NEAR E COAST HONSHU,30.0,,,,,,,,,,,,,,,,,,,,,,,,,40.5, 142.5
7458,Tsunami,1931,8.0,35.0,7.0,7.0,7.1,6.9,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  BISMARCK SEA,170.0,,,,,,,,,,,,,,,,,,,,,,,,,-3.417, 142.077
3441,,1931,1.0,50.0,7.9,,,,10.0,MEXICO,,MEXICO:  OAXACA,150.0,,,,,,,,,,,,,,,,,,,,,,,,,16.1, -96.8
6319,Tsunami,1931,2.0,,,,,,,NEW ZEALAND,,NEW ZEALAND:  N,170.0,,,,,,,,,,,,,,,,,,,,,,,,,-39.5, 177.0
3458,,1931,3.0,,6.9,,,,9.0,PHILIPPINES,,"PHILIPPINES:  LUZON:  LAOAG,BACARRA,VIGAN,BATAC",170.0,,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,18.3, 120.2
3480,Tsunami,1931,11.0,60.0,7.5,,,,,JAPAN,,JAPAN:  KYUSHU,30.0,1.0,Few (~1 to 50 deaths),,,,,,,14.0,Few (~1 to 50 houses),,,1.0,Few (~1 to 50 deaths),,,,,,,14.0,Few (~1 to 50 houses),,,32.0, 131.5
3476,Tsunami,1931,10.0,35.0,7.8,7.8,7.9,,,SOLOMON ISLANDS,,SOLOMON ISLANDS:  SAN CRISTOBAL ISLAND,170.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,50.0,Few (~1 to 50 deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,,-10.932, 161.016
3497,Tsunami,1932,6.0,25.0,7.7,7.7,6.9,,,MEXICO,,MEXICO:  CENTRAL,150.0,,,,,,,,SEVERE (~>$5 to $24 million),400.0,Many (~101 to 1000 houses),,,75.0,Some (~51 to 100 deaths),,,100.0,Some (~51 to 100 deaths),,SEVERE (~>$5 to $24 million),400.0,Many (~101 to 1000 houses),,,19.242, -104.383
3499,,1932,8.0,,,,,,7.0,PHILIPPINES,,"PHILIPPINES:  LUZON:  BAGUIO,BAUANG,LA UNION",170.0,,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,,,,,,16.5, 120.5
3496,Tsunami,1932,6.0,15.0,7.8,7.8,7.8,,10.0,MEXICO,,"MEXICO:  CENTRAL, COLIMA",150.0,,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,,,MODERATE (~$1 to $5 million),,,,,19.081, -103.631
3492,Tsunami,1932,6.0,35.0,8.1,8.1,8.2,,10.0,MEXICO,,MEXICO:  NEAR COAST OF JALISCO,150.0,400.0,Many (~101 to 1000 deaths),,,120.0,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,,400.0,Many (~101 to 1000 deaths),,,120.0,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,,19.623, -103.919
3505,,1932,12.0,,7.2,,,,12.0,USA,NV,NEVADA:  CEDAR MOUNTAIN,150.0,,,,,,,,,,,,,,,,,,,,,,,,,38.7, -117.8
3487,,1932,5.0,,7.4,7.4,8.3,,7.0,INDONESIA,,"INDONESIA:  SULAWESI:  KAKAS,LANGOWAN,POSO,TONDANO",170.0,6.0,Few (~1 to 50 deaths),,,115.0,Some (~51 to 100 deaths),,SEVERE (~>$5 to $24 million),592.0,Many (~101 to 1000 houses),,,6.0,Few (~1 to 50 deaths),,,115.0,Some (~51 to 100 deaths),,SEVERE (~>$5 to $24 million),592.0,Many (~101 to 1000 houses),,,0.5, 126.0
6094,Tsunami,1932,9.0,17.0,,,,,7.0,INDONESIA,,"INDONESIA:  AMBON ISLAND, CERAM ISLAND",170.0,,,,,,,,SEVERE (~>$5 to $24 million),73.0,Some (~51 to 100 houses),,Many (~101 to 1000 houses),,,,,,,,MODERATE (~$1 to $5 million),73.0,Some (~51 to 100 houses),,Many (~101 to 1000 houses),-3.57, 128.35
6095,Tsunami,1932,9.0,,6.8,,6.8,,,NEW ZEALAND,,"NEW ZEALAND:  GISBORNE, WAIROA",170.0,,,,,5.0,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,,,,,,5.0,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,,-39.0, 177.5
6639,Tsunami,1932,11.0,,,,,,,USA,NY,NEW YORK:  WILLETTS POINT,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10236,,1933,11.0,15.0,7.7,7.7,7.4,,,CANADA,,CANADA:  BAFFIN BAY,150.0,,,,,,,,,,,,,,,,,,,,,,,,,73.122, -70.014
3516,Tsunami,1933,3.0,16.0,6.3,,,,9.0,USA,CA,CALIFORNIA:  LONG BEACH,150.0,120.0,Many (~101 to 1000 deaths),,,,,41.0,EXTREME (~$25 million or more),,,,,120.0,Many (~101 to 1000 deaths),,,,,41.0,EXTREME (~$25 million or more),,,,,33.62, -117.97
6098,Tsunami,1933,6.0,20.0,,,,,,JAPAN,,"SANRIKU, JAPAN",30.0,,,,,,,,,,,,,,,,,,,,,,,,,38.1, 142.4
3521,,1933,6.0,20.0,7.5,7.5,7.5,,,INDONESIA,,INDONESIA:  S SUMATERA,60.0,,,,,,,,,,,,,,,,,,,,,,,,,-5.151, 104.528
10466,,1933,6.0,20.0,5.8,5.8,,,9.0,INDONESIA,,INDONESIA:  S SUMATERA,60.0,,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),,,,,,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),,,,,-5.007, 104.501
3508,Tsunami,1933,2.0,40.0,7.6,,7.6,,,CHILE,,CHILE,160.0,,,,,,,,,,,,,,,,,,,,,,,,,-20.0, -71.0
3525,,1933,11.0,70.0,5.5,,,,10.0,CHILE,,CHILE,160.0,,,,,,,,,,,,,,,,,,,,,,,,,-22.0, -70.5
3512,Tsunami,1933,3.0,35.0,8.4,8.4,8.5,,,JAPAN,,JAPAN:  SANRIKU,30.0,,,,,,,,,,Many (~101 to 1000 houses),,,3022.0,Very Many (~1001 or more deaths),,,,,,EXTREME (~$25 million or more),6000.0,Very Many (~1001 or more houses),,,39.224, 144.622
9232,Tsunami,1933,12.0,,,,,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA,170.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,-5.0, 151.0
6101,Tsunami,1934,7.0,35.0,7.1,7.1,7.2,,,SOLOMON ISLANDS,,SOLOMON ISLANDS; NEW CALEDONIA,170.0,,,,,,,,,,,,,,,,,,,,,,,,,-11.139, 165.503
3538,,1934,12.0,,,,,,10.0,AZORES (PORTUGAL),,AZORES:  ATLANTIC,130.0,,,,,,,,,,,,,,,,,,,,,,,,,38.2, -20.6
3531,,1934,3.0,60.0,7.5,,,,,NEW ZEALAND,,NEW ZEALAND:  NORTH ISLAND,170.0,,,,,,,,,,,,,,,,,,,,,,,,,-40.5, 175.5
